Energy Loss	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
-0.0733	1470.4284	1255.3791	1241.7917	1760.2521	1000.3658	553.0203	2458.8927	1297.0012	1551.8366	1206.9156
-0.0645	2147.5164	2420.5148	1391.8065	1610.0816	1293.9788	742.0209	1625.0758	1971.508	1840.3149	2598.7805
-0.0557	2878.4391	3752.2387	2444.3437	1403.9987	3026.6127	1937.4933	1542.0512	2681.8661	2264.7719	3483.5404
-0.0469	2734.1256	3299.7941	2985.6049	2235.1995	3374.5068	2828.2343	2541.2475	2483.8118	3040.8084	4311.6492
-0.0381	5736.7648	5628.0849	6210.0542	5315.432	4434.2164	4448.0852	4834.4195	4102.1696	5760.3419	7996.4366
-0.0293	18371.0231	14366.7347	18632.0789	14679.3543	14679.2218	11301.9088	12497.7836	13757.4533	17239.767	27035.6879
-0.0205	55063.5533	45924.9816	58155.3742	45450.2677	46492.9694	35945.5012	37230.0795	46870.19	49217.8933	70308.4308
-0.0117	114160.9885	98559.8781	113457.1847	100284.8679	98135.1907	81393.6872	84368.6918	99778.0642	99312.6714	116761.6531
-0.0029	155832.3953	137635.3132	148272.8817	140069.8988	138626.0464	123322.9463	126638.4337	140968.3502	137355.4141	141431.0228
0.0059	152237.9101	142064.1931	144800.5647	141338.083	141343.3316	131667.4115	135547.2978	140142.2856	140497.3132	130754.346
0.0147	104640.6182	110398.5435	104017.4472	104882.0395	105215.9267	102589.6597	108000.4175	99719.8599	104555.7532	92583.934
0.0235	54727.1047	62773.1811	54515.4576	57842.6021	59257.145	61589.526	64487.2692	54251.2985	59073.7422	50684.6155
0.0323	25713.2618	30443.1761	25847.5145	26803.2785	29974.1443	30277.1758	31334.7715	25521.4685	28370.8395	25074.254
0.0411	12770.1036	14499.351	12973.4465	12903.5663	14112.1112	15156.4901	14707.5412	12034.4599	13308.5754	12713.7198
0.0499	6954.6833	7498.0775	6839.5682	7326.4317	7563.901	8723.3162	7983.9633	7247.4377	7060.6719	6547.8261
0.0587	3982.3672	4541.6321	4856.8582	4788.3686	4551.8744	4686.7653	4402.7446	4278.2634	4367.9975	4536.0014
0.0675	2695.8042	4797.1593	4129.4056	3853.1919	3261.1028	2974.835	2913.7402	3843.6055	2976.2905	3993.1685
0.0764	2499.9124	3775.2033	2939.4078	2883.3073	2784.9763	2539.5248	2768.9222	2829.1674	2583.2139	3447.6487
0.0852	2594.8362	2909.8935	1541.7665	2384.7204	2756.5782	2003.3115	1923.373	2206.9536	2421.2928	3171.6699
0.094	2350.503	2534.1826	1794.3107	2649.2306	2150.0223	1903.0824	1475.7075	1260.4306	1825.7549	2121.9437
0.1028	2787.4671	2355.9012	1281.0564	2052.922	1652.2573	1464.2287	1241.178	1599.4613	1412.6818	1718.2812
0.1116	1670.7019	1975.1035	1270.6594	1683.4072	2460.844	1739.0429	1215.1869	1989.4511	1670.9878	1200.2241
0.1204	1410.7794	1651.1577	1131.2865	1457.743	2348.7753	1482.6249	1312.229	2366.9375	901.3176	1000.3763
0.1292	1274.3324	1928.9553	1235.261	1763.109	1741.7721	1579.9196	748.2755	2073.2095	1318.9546	655.3686
0.138	645.5197	1962.4847	682.4171	1781.2009	1127.7756	794.1126	203.4006	2183.2385	395.6632	1221.4002
0.1468	1280.0042	1345.551	1133.0628	1878.5743	1732.8135	1248.8975	374.3454	1862.7822	603.8948	2352.3497
0.1556	2856.7982	2205.896	1811.3427	1174.3701	1079.1379	1511.2292	1765.0662	2119.9951	1057.6923	1543.0234
0.1644	2967.5869	2569.3619	1777.4579	1537.6963	1487.726	2104.3568	2171.9419	2222.8348	1312.4012	2128.5384
0.1732	3915.0044	2822.5848	2198.3481	3465.5622	2320.55	3557.1719	1587.856	2868.0602	2928.9097	3262.5955
0.182	5554.957	4057.7345	3847.5536	5679.635	3411.1285	4511.7099	3018.1965	4211.506	4111.5159	3763.0771
0.1908	6835.4884	5335.4494	5715.0927	7036.5831	3849.9533	5029.7952	4462.6725	4724.9951	4851.8982	4502.7611
0.1996	6060.4178	6248.8003	5696.1497	6179.7038	3865.1468	5074.4714	5316.9294	5366.0788	4412.9363	4235.2623
0.2084	4281.2355	4604.3369	4264.4405	4683.493	3285.953	4070.3319	4402.7104	4032.4775	4020.4344	3668.8233
0.2172	3753.6489	2739.5501	3243.6079	2993.7238	3029.3338	2959.5377	3545.9921	3191.8333	3462.8248	2464.3138
0.226	3508.5326	1567.8018	2380.4057	2127.059	2688.4354	2160.5217	3005.6641	1772.0745	2957.4336	1834.1119
0.2348	2808.6677	1199.5773	2683.5376	961.4186	1015.3761	529.8014	2254.0354	1910.6923	2154.2486	1326.1794
0.2436	1891.4124	1503.2902	1689.1579	1346.0651	1624.0563	382.6407	1189.6303	1416.5607	677.6334	278.2825
0.2524	1698.7873	2162.109	1673.0309	1454.8188	807.9219	442.1748	608.3141	1325.3942	767.2796	482.4033
